time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2021-09-05 18:09:02:5750,-1.9957,2.6543,3.4356,4.778
2021-09-05 18:09:02:5840,-1.9415,2.9021,3.1498,4.702
2021-09-05 18:09:02:5960,-1.8718,3.1349,2.6725,4.525
2021-09-05 18:09:02:6040,-1.8848,3.1856,2.4153,4.42
2021-09-05 18:09:02:6150,-1.8951,3.1678,2.0909,4.242
2021-09-05 18:09:02:6240,-1.9817,3.14,1.9242,4.182
2021-09-05 18:09:02:6360,-2.0894,2.9676,1.6738,3.997
2021-09-05 18:09:02:6450,-2.1486,2.8205,1.5078,3.853
2021-09-05 18:09:02:6560,-2.0996,2.6757,1.2496,3.623
2021-09-05 18:09:02:6640,-2.0515,2.6113,1.0624,3.487
2021-09-05 18:09:02:6760,-1.9807,2.4737,0.7047,3.246
2021-09-05 18:09:02:6860,-1.877,2.3878,0.4302,3.068
2021-09-05 18:09:02:6959,-1.6756,2.3644,0.1888,2.904
2021-09-05 18:09:02:7040,-1.519,2.3991,0.1053,2.841
2021-09-05 18:09:02:7150,-1.3766,2.4297,0.0864,2.794
2021-09-05 18:09:02:7240,-1.349,2.34,0.1154,2.703
2021-09-05 18:09:02:7350,-1.4084,2.1394,0.0818,2.563
2021-09-05 18:09:02:7440,-1.4126,1.9549,0.1093,2.414
2021-09-05 18:09:02:7560,-1.4528,1.7356,0.3017,2.283
2021-09-05 18:09:02:7640,-1.4061,1.5983,0.4609,2.178
2021-09-05 18:09:02:7750,-1.2138,1.44,0.6609,1.996
2021-09-05 18:09:02:7840,-0.9838,1.3845,0.8068,1.88
2021-09-05 18:09:02:7950,-0.7992,1.2249,0.9062,1.721
2021-09-05 18:09:02:8040,-0.5679,1.1373,0.9739,1.601
2021-09-05 18:09:02:8149,-0.313,1.0266,1.0505,1.502
2021-09-05 18:09:02:8240,-0.0743,0.9609,1.0952,1.459
2021-09-05 18:09:02:8350,0.1873,0.7468,1.0549,1.306
2021-09-05 18:09:02:8440,0.3058,0.5615,0.941,1.138
2021-09-05 18:09:02:8560,0.5719,0.1585,0.595,0.84
2021-09-05 18:09:02:8640,0.6986,-0.026,0.2678,0.749
2021-09-05 18:09:02:8750,0.7933,-0.2435,-0.2222,0.859
2021-09-05 18:09:02:8850,0.8301,-0.3557,-0.676,1.128
2021-09-05 18:09:02:8950,0.7661,-0.5257,-1.3323,1.624
2021-09-05 18:09:02:9040,0.6676,-0.5189,-1.7112,1.909
2021-09-05 18:09:02:9150,0.6777,-0.4496,-1.8761,2.045
2021-09-05 18:09:02:9240,0.7402,-0.4881,-1.7049,1.922
2021-09-05 18:09:02:9350,0.8013,-0.6626,-1.0426,1.472
2021-09-05 18:09:02:9450,0.8904,-1.1155,-0.393,1.48
2021-09-05 18:09:02:9560,1.1398,-2.0723,0.4923,2.416
2021-09-05 18:09:02:9640,1.1571,-2.5347,0.9316,2.938
2021-09-05 18:09:02:9750,1.1433,-3.0938,1.3825,3.576
2021-09-05 18:09:02:9840,1.0601,-3.4914,1.6002,3.984
2021-09-05 18:09:02:9950,0.9169,-3.7026,1.6839,4.17
2021-09-05 18:09:03:0040,0.9087,-3.6735,1.7063,4.151
2021-09-05 18:09:03:0150,1.0119,-3.4268,1.5561,3.897
2021-09-05 18:09:03:0240,1.007,-3.2046,1.386,3.634
2021-09-05 18:09:03:0360,1.0047,-2.9384,1.17,3.318
2021-09-05 18:09:03:0450,0.963,-2.8273,0.9305,3.128
2021-09-05 18:09:03:0560,0.8239,-2.6968,0.4433,2.854
2021-09-05 18:09:03:0640,0.6945,-2.6135,0.0754,2.705
2021-09-05 18:09:03:0790,0.5104,-2.4457,-0.5084,2.55
2021-09-05 18:09:03:0970,0.4376,-2.2723,-0.8037,2.45
2021-09-05 18:09:03:0990,0.3586,-2.0187,-1.2019,2.377
2021-09-05 18:09:03:1050,0.2969,-1.7861,-1.4831,2.34
2021-09-05 18:09:03:1140,0.2324,-1.5749,-1.7812,2.389
2021-09-05 18:09:03:1240,0.1491,-1.4502,-1.9835,2.462
2021-09-05 18:09:03:1360,0.0155,-1.3768,-2.1397,2.544
2021-09-05 18:09:03:1429,-0.0136,-1.3528,-2.0893,2.489
2021-09-05 18:09:03:1550,-0.0545,-1.3234,-1.9491,2.357
2021-09-05 18:09:03:1630,-0.107,-1.2877,-1.9103,2.306
2021-09-05 18:09:03:1790,-0.1636,-1.303,-1.7831,2.214
2021-09-05 18:09:03:1920,-0.1985,-1.3097,-1.6417,2.109
2021-09-05 18:09:03:1960,-0.1543,-1.254,-1.5295,1.984
2021-09-05 18:09:03:2039,-0.0967,-1.2107,-1.4895,1.922
2021-09-05 18:09:03:2150,0.0383,-1.1492,-1.3828,1.798
2021-09-05 18:09:03:2230,0.1064,-1.0756,-1.3724,1.747
2021-09-05 18:09:03:2350,0.3089,-1.0347,-1.3244,1.709
2021-09-05 18:09:03:2430,0.3434,-0.9418,-1.2415,1.596
2021-09-05 18:09:03:2570,0.3273,-0.9102,-0.9303,1.342
2021-09-05 18:09:03:2640,0.2627,-0.9596,-0.676,1.203
2021-09-05 18:09:03:2770,0.2557,-1.0996,-0.2031,1.147
2021-09-05 18:09:03:2870,0.2121,-1.0994,0.1275,1.127
2021-09-05 18:09:03:2950,0.2262,-1.0779,0.5103,1.214
2021-09-05 18:09:03:3040,0.2958,-1.0653,0.7496,1.336
2021-09-05 18:09:03:3160,0.3867,-1.0625,0.8294,1.402
2021-09-05 18:09:03:3240,0.4262,-0.9912,0.7887,1.336
2021-09-05 18:09:03:3350,0.4368,-0.8188,0.625,1.119
2021-09-05 18:09:03:3439,0.3377,-0.662,0.3981,0.843
2021-09-05 18:09:03:3560,0.2049,-0.5565,0.0621,0.596
2021-09-05 18:09:03:3630,0.0793,-0.4632,-0.0983,0.48
2021-09-05 18:09:03:3760,-0.0901,-0.3175,-0.263,0.422
2021-09-05 18:09:03:3870,-0.2113,-0.1314,-0.3191,0.405
2021-09-05 18:09:03:3950,-0.2902,0.0501,-0.4576,0.544
2021-09-05 18:09:03:4040,-0.2172,0.1289,-0.4508,0.517
2021-09-05 18:09:03:4160,-0.0012,0.2413,0.0937,0.259
2021-09-05 18:09:03:4250,0.0671,0.2525,0.4789,0.546
2021-09-05 18:09:03:4350,0.0277,0.2387,1.0095,1.038
2021-09-05 18:09:03:4440,-0.1462,0.2238,1.1976,1.227
2021-09-05 18:09:03:4560,-0.3729,0.286,1.2035,1.292
2021-09-05 18:09:03:4640,-0.4405,0.3373,1.2393,1.358
2021-09-05 18:09:03:4760,-0.3927,0.4107,1.5623,1.662
2021-09-05 18:09:03:4890,-0.2989,0.4246,1.9019,1.971
2021-09-05 18:09:03:4950,-0.1594,0.3069,2.316,2.342
2021-09-05 18:09:03:5040,-0.0998,0.2435,2.5032,2.517
2021-09-05 18:09:03:5160,-0.1068,0.3141,2.3652,2.388
2021-09-05 18:09:03:5250,-0.2481,0.4324,2.0157,2.076
2021-09-05 18:09:03:5360,-0.4971,0.6597,1.1566,1.421
2021-09-05 18:09:03:5440,-0.6589,0.8463,0.6493,1.254
2021-09-05 18:09:03:5560,-0.7823,1.0399,0.3404,1.345
2021-09-05 18:09:03:5639,-0.8072,1.0962,0.4047,1.42
2021-09-05 18:09:03:5760,-0.8299,1.1183,0.6355,1.531
2021-09-05 18:09:03:5870,-0.8514,1.0879,0.8288,1.611
2021-09-05 18:09:03:6000,-0.8101,0.9321,0.9384,1.551
2021-09-05 18:09:03:6050,-0.7426,0.8848,0.9935,1.524
2021-09-05 18:09:03:6160,-0.7192,0.8822,0.8881,1.444
2021-09-05 18:09:03:6240,-0.7035,0.8058,0.7911,1.33
2021-09-05 18:09:03:6350,-0.6608,0.7939,0.6337,1.212
2021-09-05 18:09:03:6440,-0.6863,0.8573,0.5491,1.228
2021-09-05 18:09:03:6570,-0.7109,0.9044,0.3404,1.2
2021-09-05 18:09:03:6640,-0.7453,0.9233,0.1919,1.202
2021-09-05 18:09:03:6760,-0.8929,0.9328,-0.04,1.292
2021-09-05 18:09:03:6860,-0.9456,0.9504,-0.2571,1.365
2021-09-05 18:09:03:6990,-0.9555,1.021,-0.301,1.43
2021-09-05 18:09:03:7030,-0.9278,1.0105,-0.3555,1.417
2021-09-05 18:09:03:7160,-0.8766,1.0202,-0.4056,1.405
2021-09-05 18:09:03:7250,-0.8058,0.9948,-0.3928,1.339
2021-09-05 18:09:03:7340,-0.7278,0.8523,-0.4097,1.193
2021-09-05 18:09:03:7450,-0.6405,0.7609,-0.317,1.044
2021-09-05 18:09:03:7550,-0.6185,0.6533,-0.3017,0.949
2021-09-05 18:09:03:7640,-0.4972,0.6186,-0.2919,0.846
2021-09-05 18:09:03:7760,-0.4513,0.5344,-0.3552,0.784
2021-09-05 18:09:03:7850,-0.446,0.5643,-0.4417,0.844
2021-09-05 18:09:03:8030,-0.4702,0.6159,-0.5543,0.953
2021-09-05 18:09:03:8040,-0.4627,0.6026,-0.5953,0.965
2021-09-05 18:09:03:8159,-0.5275,0.6064,-0.5437,0.97
2021-09-05 18:09:03:8250,-0.5478,0.5977,-0.4995,0.952
2021-09-05 18:09:03:8360,-0.5259,0.5685,-0.4435,0.892
2021-09-05 18:09:03:8440,-0.5078,0.5107,-0.3657,0.808
2021-09-05 18:09:03:8550,-0.443,0.429,-0.23,0.658
2021-09-05 18:09:03:8650,-0.3896,0.4041,-0.1181,0.574
2021-09-05 18:09:03:8750,-0.2954,0.2442,-0.0057,0.383
2021-09-05 18:09:03:8850,-0.1527,0.1078,0.0308,0.189
2021-09-05 18:09:03:8960,-0.0804,0.0304,0.0223,0.089
2021-09-05 18:09:03:9030,0.0004,-0.0743,-0.0815,0.11
2021-09-05 18:09:03:9150,0.0632,-0.0338,-0.3263,0.334
2021-09-05 18:09:03:9230,0.0449,0.0221,-0.5924,0.594
2021-09-05 18:09:03:9360,0.0015,0.0683,-1.1099,1.112
2021-09-05 18:09:03:9430,-0.0089,0.0257,-1.4528,1.453
2021-09-05 18:09:03:9570,-0.1072,0.0058,-1.6547,1.658
2021-09-05 18:09:03:9650,-0.0932,0.0152,-1.5672,1.57
2021-09-05 18:09:03:9740,-0.1348,0.019,-1.2521,1.259
2021-09-05 18:09:03:9840,0.0108,-0.1336,-0.9054,0.915
2021-09-05 18:09:03:9960,0.2292,-0.3884,-0.584,0.738
2021-09-05 18:09:04:0030,0.3247,-0.6812,-0.3787,0.844
2021-09-05 18:09:04:0150,0.3735,-1.0059,0.0168,1.073
2021-09-05 18:09:04:0250,0.3707,-1.2139,0.3165,1.308
2021-09-05 18:09:04:0360,0.2101,-1.3658,0.4864,1.465
2021-09-05 18:09:04:0440,0.079,-1.4429,0.5599,1.55
2021-09-05 18:09:04:0570,-0.0886,-1.3292,0.4456,1.405
2021-09-05 18:09:04:0650,-0.0676,-1.1624,0.4377,1.244
2021-09-05 18:09:04:0750,-0.0486,-0.8898,0.4477,0.997
2021-09-05 18:09:04:0840,0.0343,-0.797,0.5191,0.952
2021-09-05 18:09:04:0960,0.2184,-0.8004,0.7958,1.15
2021-09-05 18:09:04:1030,0.3228,-0.8504,1.0984,1.426
2021-09-05 18:09:04:1150,0.4048,-0.9339,1.4297,1.755
2021-09-05 18:09:04:1260,0.3445,-0.933,1.5959,1.88
2021-09-05 18:09:04:1360,0.2375,-0.9728,1.5754,1.867
2021-09-05 18:09:04:1440,0.2021,-0.9815,1.5449,1.841
2021-09-05 18:09:04:1570,0.265,-0.805,1.3271,1.575
2021-09-05 18:09:04:1650,0.3527,-0.6801,1.2044,1.427
2021-09-05 18:09:04:1750,0.3843,-0.5337,0.8707,1.091
2021-09-05 18:09:04:1840,0.3581,-0.4597,0.5157,0.778
2021-09-05 18:09:04:1960,0.2918,-0.3255,0.0465,0.44
2021-09-05 18:09:04:2039,0.2144,-0.2386,-0.3214,0.454
2021-09-05 18:09:04:2140,0.1201,-0.1304,-0.8248,0.844
2021-09-05 18:09:04:2230,0.0133,-0.0428,-1.1503,1.151
2021-09-05 18:09:04:2360,-0.0411,0.0814,-1.516,1.519
2021-09-05 18:09:04:2430,-0.0527,0.1407,-1.6157,1.623
2021-09-05 18:09:04:2560,-0.0765,0.2322,-1.6077,1.626
2021-09-05 18:09:04:2640,-0.0223,0.1983,-1.5592,1.572
2021-09-05 18:09:04:2750,0.0629,0.228,-1.422,1.442
2021-09-05 18:09:04:2839,0.1596,0.2094,-1.1558,1.185
2021-09-05 18:09:04:2980,0.2573,0.1799,-0.7248,0.79
2021-09-05 18:09:04:3040,0.2588,0.0972,-0.5291,0.597
2021-09-05 18:09:04:3150,0.3235,-0.0677,-0.0972,0.344
2021-09-05 18:09:04:3240,0.3833,-0.1251,0.2047,0.452
2021-09-05 18:09:04:3360,0.48,-0.2307,0.6926,0.874
2021-09-05 18:09:04:3430,0.5008,-0.3315,1.0197,1.183
2021-09-05 18:09:04:3560,0.5153,-0.4874,1.3111,1.491
2021-09-05 18:09:04:3640,0.4505,-0.581,1.3756,1.56
2021-09-05 18:09:04:3740,0.3051,-0.6716,1.3237,1.515
2021-09-05 18:09:04:3840,0.2315,-0.7398,1.1431,1.381
2021-09-05 18:09:04:3950,0.0953,-0.6616,0.7403,0.997
2021-09-05 18:09:04:4030,-0.0379,-0.5926,0.3787,0.704
2021-09-05 18:09:04:4160,-0.1631,-0.4498,-0.0568,0.482
2021-09-05 18:09:04:4240,-0.2319,-0.3666,-0.2934,0.524
2021-09-05 18:09:04:4350,-0.3901,-0.2388,-0.565,0.727
2021-09-05 18:09:04:4440,-0.435,-0.0918,-0.8379,0.949
2021-09-05 18:09:04:4550,-0.2602,0.0066,-1.0758,1.107
2021-09-05 18:09:04:4640,-0.0519,0.0509,-1.1089,1.111
2021-09-05 18:09:04:4760,0.1552,0.0802,-0.9042,0.921
2021-09-05 18:09:04:4840,0.2191,-0.0307,-0.6916,0.726
2021-09-05 18:09:04:4970,0.1601,-0.1418,-0.5312,0.573
2021-09-05 18:09:04:5100,0.0697,-0.1637,-0.5602,0.588
2021-09-05 18:09:04:5150,0.1216,-0.3539,-0.3801,0.533
2021-09-05 18:09:04:5230,0.2322,-0.5045,0.1058,0.565
2021-09-05 18:09:04:5350,0.3266,-0.7369,0.9717,1.262
2021-09-05 18:09:04:5440,0.2834,-1.0019,1.527,1.848
2021-09-05 18:09:04:5540,0.2494,-1.322,1.8119,2.257
2021-09-05 18:09:04:5639,0.2354,-1.3724,1.7003,2.198
2021-09-05 18:09:04:5760,0.1554,-1.0671,0.9791,1.457
2021-09-05 18:09:04:5840,0.1216,-0.7913,0.2249,0.832
2021-09-05 18:09:04:5980,0.1408,-0.2529,-0.5061,0.583
2021-09-05 18:09:04:6110,0.1112,-0.0521,-0.8026,0.812
2021-09-05 18:09:04:6150,-0.0675,0.1742,-0.935,0.954
2021-09-05 18:09:04:6240,-0.249,0.2422,-0.9222,0.985
2021-09-05 18:09:04:6350,-0.4121,0.1614,-0.7799,0.897
2021-09-05 18:09:04:6440,-0.4352,0.1579,-0.6126,0.768
2021-09-05 18:09:04:6550,-0.3445,0.2489,-0.3123,0.527
2021-09-05 18:09:04:6680,-0.2154,0.3802,-0.1229,0.454
2021-09-05 18:09:04:6750,-0.0265,0.5125,0.1926,0.548
2021-09-05 18:09:04:6840,0.0512,0.5769,0.3921,0.699
2021-09-05 18:09:04:6969,0.1962,0.7239,0.5682,0.941
2021-09-05 18:09:04:7100,0.1784,0.7335,0.6127,0.972
2021-09-05 18:09:04:7170,0.0966,0.7853,0.5465,0.962
2021-09-05 18:09:04:7230,0.0692,0.7965,0.4938,0.94
2021-09-05 18:09:04:7340,0.0347,0.788,0.4547,0.91
2021-09-05 18:09:04:7440,0.0531,0.8065,0.4581,0.929
2021-09-05 18:09:04:7560,0.0372,0.7242,0.459,0.858
2021-09-05 18:09:04:7640,0.0001,0.6444,0.3956,0.756
2021-09-05 18:09:04:7750,-0.1158,0.5462,0.2659,0.618
2021-09-05 18:09:04:7840,-0.1275,0.4967,0.1798,0.543
2021-09-05 18:09:04:7960,-0.2219,0.4524,0.0194,0.504
2021-09-05 18:09:04:8040,-0.2745,0.4279,-0.1148,0.521
2021-09-05 18:09:04:8159,-0.3662,0.4267,-0.2899,0.633
2021-09-05 18:09:04:8240,-0.4112,0.4094,-0.3675,0.687
2021-09-05 18:09:04:8360,-0.4756,0.4126,-0.4934,0.8
2021-09-05 18:09:04:8440,-0.4616,0.4147,-0.5718,0.844
2021-09-05 18:09:04:8550,-0.4728,0.4304,-0.6291,0.897
2021-09-05 18:09:04:8640,-0.5116,0.4081,-0.6248,0.905
2021-09-05 18:09:04:8760,-0.5261,0.3866,-0.4868,0.814
2021-09-05 18:09:04:8840,-0.5113,0.3341,-0.3326,0.695
2021-09-05 18:09:04:8980,-0.4573,0.2461,-0.1262,0.534
2021-09-05 18:09:04:9090,-0.3559,0.211,0.0394,0.416
2021-09-05 18:09:04:9150,-0.2639,0.1747,0.1287,0.342
2021-09-05 18:09:04:9240,-0.2196,0.1165,0.1273,0.279
2021-09-05 18:09:04:9350,-0.1336,0.0613,-0.0197,0.148
2021-09-05 18:09:04:9450,-0.0457,0.0329,-0.1758,0.185
2021-09-05 18:09:04:9580,-0.0459,0.0523,-0.4084,0.414
2021-09-05 18:09:04:9640,-0.0663,0.056,-0.6101,0.616
2021-09-05 18:09:04:9750,-0.072,-0.0103,-0.9391,0.942
2021-09-05 18:09:04:9840,-0.1456,-0.058,-1.2732,1.283
2021-09-05 18:09:04:9960,-0.1862,-0.1091,-1.5192,1.534
2021-09-05 18:09:05:0060,-0.1955,-0.0713,-1.6435,1.657
2021-09-05 18:09:05:0150,-0.3477,0.0472,-1.8466,1.88
2021-09-05 18:09:05:0230,-0.3844,0.0171,-2.0036,2.04
2021-09-05 18:09:05:0360,-0.2322,-0.1292,-1.8274,1.847
2021-09-05 18:09:05:0450,-0.093,-0.2059,-1.395,1.413
2021-09-05 18:09:05:0570,0.1604,-0.4279,-0.5341,0.703
2021-09-05 18:09:05:0640,0.2379,-0.5965,-0.1366,0.657
2021-09-05 18:09:05:0760,0.05,-0.7943,0.1405,0.808
2021-09-05 18:09:05:0840,-0.0887,-0.8725,0.1248,0.886
2021-09-05 18:09:05:0960,-0.2826,-0.8381,0.043,0.885
2021-09-05 18:09:05:1100,-0.3384,-0.5898,-0.0155,0.68
2021-09-05 18:09:05:1150,-0.2344,-0.2757,0.2429,0.436
2021-09-05 18:09:05:1240,0.0046,-0.1983,0.7912,0.816
2021-09-05 18:09:05:1360,0.3191,-0.1936,1.8598,1.897
2021-09-05 18:09:05:1450,0.433,-0.2756,2.4726,2.525
2021-09-05 18:09:05:1550,0.6124,-0.4654,3.134,3.227
2021-09-05 18:09:05:1640,0.5803,-0.5986,3.3662,3.468
2021-09-05 18:09:05:1760,0.5138,-0.7404,3.2268,3.35
2021-09-05 18:09:05:1840,0.4211,-0.7835,3.0211,3.149
2021-09-05 18:09:05:1960,0.4209,-0.7169,2.6305,2.759
2021-09-05 18:09:05:2090,0.4384,-0.6331,2.2739,2.401
2021-09-05 18:09:05:2140,0.2403,-0.4672,1.6015,1.685
2021-09-05 18:09:05:2240,0.0733,-0.3862,0.9897,1.065
2021-09-05 18:09:05:2350,-0.0829,-0.2947,0.3053,0.432
2021-09-05 18:09:05:2450,-0.3101,-0.2917,-0.336,0.542
2021-09-05 18:09:05:2550,-0.403,-0.0389,-0.9838,1.064
2021-09-05 18:09:05:2630,-0.4662,0.0967,-1.2834,1.369
2021-09-05 18:09:05:2760,-0.5717,0.214,-1.7087,1.814
2021-09-05 18:09:05:2839,-0.6487,0.2159,-1.86,1.982
2021-09-05 18:09:05:2950,-0.7927,0.1793,-1.9341,2.098
2021-09-05 18:09:05:3070,-0.8425,0.0971,-1.8358,2.022
2021-09-05 18:09:05:3160,-0.8374,-0.0655,-1.4621,1.686
2021-09-05 18:09:05:3230,-0.7616,-0.1092,-1.1198,1.359
2021-09-05 18:09:05:3340,-0.5867,-0.1522,-0.6026,0.855
2021-09-05 18:09:05:3459,-0.4446,-0.2437,-0.2505,0.565
2021-09-05 18:09:05:3550,-0.2943,-0.3281,0.1717,0.473
2021-09-05 18:09:05:3640,-0.1268,-0.3731,0.4148,0.572
2021-09-05 18:09:05:3770,0.0286,-0.369,0.6367,0.736
2021-09-05 18:09:05:3860,0.1714,-0.3633,0.7557,0.856
2021-09-05 18:09:05:3960,0.2879,-0.3621,0.9296,1.038
2021-09-05 18:09:05:4040,0.2778,-0.3601,1.0098,1.108
2021-09-05 18:09:05:4240,0.2552,-0.3863,1.0755,1.171
2021-09-05 18:09:05:4250,0.2068,-0.3724,1.0238,1.109
2021-09-05 18:09:05:4370,0.0757,-0.3483,0.7544,0.834
2021-09-05 18:09:05:4430,-0.0368,-0.3034,0.5594,0.637
2021-09-05 18:09:05:4540,-0.1915,-0.2597,0.1757,0.367
2021-09-05 18:09:05:4640,-0.3173,-0.1755,-0.0738,0.37
2021-09-05 18:09:05:4740,-0.392,-0.1882,-0.4717,0.642
2021-09-05 18:09:05:4860,-0.5253,-0.1082,-0.6638,0.853
2021-09-05 18:09:05:4960,-0.5994,0.1079,-0.9493,1.128
2021-09-05 18:09:05:5030,-0.4791,0.2517,-1.2195,1.334
2021-09-05 18:09:05:5160,-0.1803,0.4179,-1.3448,1.42
2021-09-05 18:09:05:5230,0.1154,0.5527,-1.2677,1.388
2021-09-05 18:09:05:5350,0.286,0.5402,-0.9211,1.105
2021-09-05 18:09:05:5440,0.3081,0.3272,-0.7477,0.872
2021-09-05 18:09:05:5560,0.1464,0.0056,-0.678,0.694
2021-09-05 18:09:05:5629,-0.0814,-0.1336,-0.7657,0.782
2021-09-05 18:09:05:5750,-0.4057,-0.1159,-1.0385,1.121
2021-09-05 18:09:05:5830,-0.4198,-0.0585,-1.1383,1.215
2021-09-05 18:09:05:5960,-0.0978,0.0715,-0.8695,0.878
2021-09-05 18:09:05:6030,0.1423,0.1497,-0.3448,0.402
2021-09-05 18:09:05:6180,0.4486,-0.0468,0.6831,0.819
2021-09-05 18:09:05:6230,0.5925,-0.2346,1.2985,1.446
2021-09-05 18:09:05:6360,0.697,-0.6037,1.6181,1.862
2021-09-05 18:09:05:6440,0.6708,-0.8102,1.5761,1.895
2021-09-05 18:09:05:6570,0.6903,-0.9266,1.4022,1.817
2021-09-05 18:09:05:6630,0.6974,-0.8667,1.071,1.544
2021-09-05 18:09:05:6750,0.6817,-0.7996,0.3273,1.101
2021-09-05 18:09:05:6850,0.5252,-0.6841,-0.3054,0.915
2021-09-05 18:09:05:6949,0.319,-0.4972,-0.9654,1.132
2021-09-05 18:09:05:7040,0.1985,-0.3262,-1.1365,1.199
2021-09-05 18:09:05:7180,-0.0521,-0.1782,-1.2418,1.256
2021-09-05 18:09:05:7230,-0.5226,-1.5972,-1.588,2.312
2021-09-05 18:09:05:7350,0.2085,0.0335,-1.1386,1.158
2021-09-05 18:09:05:7450,0.0472,0.5745,-0.9009,1.069
2021-09-05 18:09:05:7550,0.7315,0.1289,-1.2477,1.452
2021-09-05 18:09:05:7640,0.8789,0.2768,-1.3596,1.642
2021-09-05 18:09:05:7750,0.8917,0.5651,-1.2659,1.648
2021-09-05 18:09:05:7830,0.9405,0.4359,-1.245,1.62
2021-09-05 18:09:05:7940,0.9173,0.2315,-1.0997,1.451
2021-09-05 18:09:05:8040,0.8489,0.1487,-0.7626,1.151
2021-09-05 18:09:05:8149,0.7376,-0.1156,-0.4468,0.87
2021-09-05 18:09:05:8240,0.6599,-0.3221,-0.1218,0.744
2021-09-05 18:09:05:8350,0.7199,-0.582,0.3969,1.007
2021-09-05 18:09:05:8430,0.6681,-0.5611,0.6769,1.104
2021-09-05 18:09:05:8550,0.5963,-0.6074,0.8805,1.225
2021-09-05 18:09:05:8640,0.5302,-0.584,0.7846,1.112
2021-09-05 18:09:05:8750,0.4153,-0.5749,0.5009,0.868
2021-09-05 18:09:05:8840,0.2756,-0.5628,0.2455,0.673
2021-09-05 18:09:05:8960,0.1542,-0.6157,-0.1206,0.646
2021-09-05 18:09:05:9050,0.0991,-0.6598,-0.1745,0.69
2021-09-05 18:09:05:9150,-0.0628,-0.5924,-0.1089,0.606
2021-09-05 18:09:05:9230,-0.2421,-0.6197,-0.1349,0.679
2021-09-05 18:09:05:9370,-0.4221,-0.5011,-0.2165,0.69
2021-09-05 18:09:05:9430,-0.5082,-0.2704,-0.2052,0.611
2021-09-05 18:09:05:9550,-0.4519,0.0249,-0.3284,0.559
2021-09-05 18:09:05:9640,-0.4227,0.3376,-0.3488,0.644
2021-09-05 18:09:05:9750,-0.4754,0.6128,-0.2802,0.825
2021-09-05 18:09:05:9840,-0.5295,0.7525,-0.2062,0.943
2021-09-05 18:09:05:9960,-0.6874,0.8473,-0.1817,1.106
2021-09-05 18:09:06:0040,-0.7983,0.8759,-0.1919,1.201
2021-09-05 18:09:06:0210,-0.8345,1.0866,-0.2705,1.396
2021-09-05 18:09:06:0260,-0.8385,1.2706,-0.3264,1.557
2021-09-05 18:09:06:0340,-0.9625,1.5833,-0.4413,1.905
2021-09-05 18:09:06:0429,-1.0689,1.8332,-0.6441,2.218
2021-09-05 18:09:06:0560,-1.2159,2.0434,-0.7005,2.479
2021-09-05 18:09:06:0640,-1.3969,2.2206,-0.7757,2.736
2021-09-05 18:09:06:0750,-1.6755,2.4444,-0.8983,3.097
2021-09-05 18:09:06:0840,-1.716,2.4653,-0.8504,3.122
2021-09-05 18:09:06:0950,-1.4965,2.1555,-0.4243,2.658
2021-09-05 18:09:06:1040,-1.3168,1.8451,0.4203,2.305
2021-09-05 18:09:06:1190,-0.9442,1.1789,1.9496,2.466
2021-09-05 18:09:06:1230,-0.7318,0.8159,2.6875,2.902
2021-09-05 18:09:06:1360,-0.5862,0.3428,3.6124,3.676
2021-09-05 18:09:06:1440,-0.6035,0.0517,3.7319,3.781
2021-09-05 18:09:06:1550,-0.6059,-0.1696,3.4271,3.484
2021-09-05 18:09:06:1640,-0.5024,-0.1705,2.9847,3.031
2021-09-05 18:09:06:1750,-0.3484,0.1387,2.3362,2.366
2021-09-05 18:09:06:1840,-0.2381,0.2821,2.0285,2.062
2021-09-05 18:09:06:1950,0.1691,0.1697,2.0531,2.067
2021-09-05 18:09:06:2090,0.4009,0.0154,2.154,2.191
2021-09-05 18:09:06:2150,0.6546,-0.2022,2.2747,2.376
2021-09-05 18:09:06:2240,0.7374,-0.4081,2.2198,2.374
2021-09-05 18:09:06:2350,0.8052,-0.7157,1.9248,2.206
2021-09-05 18:09:06:2440,0.8155,-0.9831,1.7002,2.127
2021-09-05 18:09:06:2560,0.8427,-1.0958,1.3388,1.924
2021-09-05 18:09:06:2630,0.9115,-1.2172,1.0787,1.864
2021-09-05 18:09:06:2750,0.9375,-1.3248,0.6321,1.742
2021-09-05 18:09:06:2839,0.9438,-1.4737,0.3554,1.786
2021-09-05 18:09:06:2950,0.8023,-1.6115,-0.113,1.804
2021-09-05 18:09:06:3160,0.6535,-1.7201,-0.4752,1.9
2021-09-05 18:09:06:3170,0.4469,-1.8286,-1.1517,2.207
2021-09-05 18:09:06:3240,0.3327,-1.7978,-1.5961,2.427
2021-09-05 18:09:06:3360,0.149,-1.7939,-2.3489,2.959
2021-09-05 18:09:06:3439,0.0645,-1.8497,-2.74,3.307
2021-09-05 18:09:06:3560,-0.0708,-1.8596,-3.1986,3.701
2021-09-05 18:09:06:3640,-0.1466,-1.8955,-3.3327,3.837
2021-09-05 18:09:06:3760,-0.1179,-1.8027,-3.3558,3.811
2021-09-05 18:09:06:3850,-0.0531,-1.7365,-3.3088,3.737
2021-09-05 18:09:06:3940,-0.01,-1.6713,-3.1196,3.539
2021-09-05 18:09:06:4050,0.0599,-1.6723,-2.9893,3.426
